image,captions
img (28).jpg,there are men and women sitting on chairs wearing various types of clothing and footwear .
img (28).jpg,a lot of people sitting in a room with furniture like chairs and tables visible .
img (29).jpg,a man standing indoors new an ATM machine .
img (29).jpg,a man wearing black clothes and a backpack is standing in front of a machine .
img (29).jpg,a man wearing a backpack is working on a atm machine in  a room .
img (30).jpg,a group of women sitting on a wooden bench outdoors .
img (30).jpg,a group of women wearing casual clothing appears to be smiling .
img (30).jpg,a group of women sitting on wooden bench with grass on ground .
img (31).jpg,a group of people sitting at tables indoors .
img (31).jpg,few people engaged in a learning or educational activity .
img (31).jpg,few poeple sitting on benches indoors having a discussion and sharing knowledge .
img (32).jpg,a very big room with tables and chairs .
img (32).jpg,a library which contains magazines and various furniture like tables chairs and shelves .
img (32).jpg,a big empty room which appears to be library of a study area with various books and desks .
img (33).jpg,a person speaking to a group of people in a room .
img (33).jpg,a big room that contains furniture like chairs and tables with people sitting and listening to the speaker .
img (33).jpg,a lot of people sitting packed in a big room with a women standing in front .
img (34).jpg,few people playing cricket outdoors .
img (34).jpg,scene includes a cricket player grass field sports equipment like a cricket bat and ball .
img (34).jpg,two men wearing white sport shirts playing cricket outdoors on field .
img (35).jpg,a man and a woman sitting in an office in front of a computer .
img (35).jpg,a man and a woman appear to be engaged in work or a discussion .
img (35).jpg,a woman sitting on desk with computer in front of her .
img (36).jpg,a man and a woman looking at a machine .
img (36).jpg,a man and a woman in an indoor setting working on a machine related to technology .
img (36).jpg,a man wearing red color shirt with a girt is sitting in a room working on a machine .
img (37).jpg,a group of people playing football outdoors on a grass field .
img (37).jpg,a group of people outdoors in a field .
